Created as New Dataset,Sample 037 By Administrator Date Monday, February 10 2020
cm-1,A
5432.00,1.0244
5431.00,1.0245
5430.00,1.0244
5429.00,1.0243
5428.00,1.0243
5427.00,1.0243
5426.00,1.0244
5425.00,1.0245
5424.00,1.0245
5423.00,1.0245
5422.00,1.0245
5421.00,1.0245
5420.00,1.0244
5419.00,1.0243
5418.00,1.0242
5417.00,1.0240
5416.00,1.0239
5415.00,1.0237
5414.00,1.0237
5413.00,1.0238
5412.00,1.0241
5411.00,1.0243
5410.00,1.0245
5409.00,1.0245
5408.00,1.0246
5407.00,1.0246
5406.00,1.0245
5405.00,1.0244
5404.00,1.0244
5403.00,1.0244
5402.00,1.0244
5401.00,1.0244
5400.00,1.0245
5399.00,1.0245
5398.00,1.0244
5397.00,1.0244
5396.00,1.0244
5395.00,1.0244
5394.00,1.0244
5393.00,1.0243
5392.00,1.0243
5391.00,1.0243
5390.00,1.0243
5389.00,1.0242
5388.00,1.0241
5387.00,1.0241
5386.00,1.0241
5385.00,1.0241
5384.00,1.0242
5383.00,1.0242
5382.00,1.0240
5381.00,1.0238
5380.00,1.0235
5379.00,1.0234
5378.00,1.0233
5377.00,1.0234
5376.00,1.0235
5375.00,1.0237
5374.00,1.0239
5373.00,1.0239
5372.00,1.0240
5371.00,1.0240
5370.00,1.0240
5369.00,1.0239
5368.00,1.0239
5367.00,1.0239
5366.00,1.0239
5365.00,1.0239
5364.00,1.0239
5363.00,1.0240
5362.00,1.0241
5361.00,1.0241
5360.00,1.0240
5359.00,1.0240
5358.00,1.0240
5357.00,1.0241
5356.00,1.0241
5355.00,1.0241
5354.00,1.0239
5353.00,1.0238
5352.00,1.0237
5351.00,1.0238
5350.00,1.0238
5349.00,1.0238
5348.00,1.0240
5347.00,1.0242
5346.00,1.0243
5345.00,1.0241
5344.00,1.0239
5343.00,1.0239
5342.00,1.0241
5341.00,1.0242
5340.00,1.0242
5339.00,1.0242
5338.00,1.0243
5337.00,1.0243
5336.00,1.0244
5335.00,1.0244
5334.00,1.0244
5333.00,1.0244
5332.00,1.0244
5331.00,1.0245
5330.00,1.0246
5329.00,1.0245
5328.00,1.0243
5327.00,1.0241
5326.00,1.0240
5325.00,1.0240
5324.00,1.0240
5323.00,1.0240
5322.00,1.0240
5321.00,1.0240
5320.00,1.0242
5319.00,1.0244
5318.00,1.0246
5317.00,1.0247
5316.00,1.0248
5315.00,1.0248
5314.00,1.0247
5313.00,1.0246
5312.00,1.0245
5311.00,1.0244
5310.00,1.0245
5309.00,1.0245
5308.00,1.0245
5307.00,1.0245
5306.00,1.0245
5305.00,1.0245
5304.00,1.0244
5303.00,1.0245
5302.00,1.0245
5301.00,1.0246
5300.00,1.0246
5299.00,1.0247
5298.00,1.0247
5297.00,1.0245
5296.00,1.0244
5295.00,1.0243
5294.00,1.0243
5293.00,1.0244
5292.00,1.0244
5291.00,1.0244
5290.00,1.0244
5289.00,1.0246
5288.00,1.0248
5287.00,1.0249
5286.00,1.0250
5285.00,1.0251
5284.00,1.0251
5283.00,1.0251
5282.00,1.0250
5281.00,1.0249
5280.00,1.0248
5279.00,1.0248
5278.00,1.0248
5277.00,1.0249
5276.00,1.0249
5275.00,1.0248
5274.00,1.0248
5273.00,1.0248
5272.00,1.0248
5271.00,1.0248
5270.00,1.0249
5269.00,1.0249
5268.00,1.0250
5267.00,1.0250
5266.00,1.0251
5265.00,1.0250
5264.00,1.0250
5263.00,1.0250
5262.00,1.0249
5261.00,1.0248
5260.00,1.0246
5259.00,1.0244
5258.00,1.0243
5257.00,1.0242
5256.00,1.0240
5255.00,1.0237
5254.00,1.0234
5253.00,1.0233
5252.00,1.0235
5251.00,1.0239
5250.00,1.0244
5249.00,1.0250
5248.00,1.0255
5247.00,1.0259
5246.00,1.0261
5245.00,1.0260
5244.00,1.0258
5243.00,1.0257
5242.00,1.0256
5241.00,1.0255
5240.00,1.0254
5239.00,1.0254
5238.00,1.0255
5237.00,1.0257
5236.00,1.0258
5235.00,1.0259
5234.00,1.0259
5233.00,1.0259
5232.00,1.0259
5231.00,1.0260
5230.00,1.0260
5229.00,1.0260
5228.00,1.0259
5227.00,1.0258
5226.00,1.0256
5225.00,1.0256
5224.00,1.0257
5223.00,1.0259
5222.00,1.0260
5221.00,1.0261
5220.00,1.0261
5219.00,1.0261
5218.00,1.0261
5217.00,1.0261
5216.00,1.0262
5215.00,1.0263
5214.00,1.0264
5213.00,1.0265
5212.00,1.0265
