Created as New Dataset,Sample 028 By Administrator Date Monday, February 10 2020
cm-1,A
4990.00,1.1882
4989.00,1.1882
4988.00,1.1882
4987.00,1.1882
4986.00,1.1882
4985.00,1.1881
4984.00,1.1880
4983.00,1.1880
4982.00,1.1880
4981.00,1.1880
4980.00,1.1880
4979.00,1.1880
4978.00,1.1879
4977.00,1.1878
4976.00,1.1877
4975.00,1.1876
4974.00,1.1876
4973.00,1.1876
4972.00,1.1876
4971.00,1.1877
4970.00,1.1877
4969.00,1.1876
4968.00,1.1876
4967.00,1.1876
4966.00,1.1876
4965.00,1.1876
4964.00,1.1876
4963.00,1.1876
4962.00,1.1876
4961.00,1.1875
4960.00,1.1875
4959.00,1.1876
4958.00,1.1876
4957.00,1.1875
4956.00,1.1874
4955.00,1.1873
4954.00,1.1873
4953.00,1.1872
4952.00,1.1871
4951.00,1.1871
4950.00,1.1870
4949.00,1.1870
4948.00,1.1870
4947.00,1.1870
4946.00,1.1871
4945.00,1.1871
4944.00,1.1871
4943.00,1.1871
4942.00,1.1870
4941.00,1.1870
4940.00,1.1870
4939.00,1.1870
4938.00,1.1870
4937.00,1.1869
4936.00,1.1869
4935.00,1.1868
4934.00,1.1867
4933.00,1.1867
4932.00,1.1866
4931.00,1.1866
4930.00,1.1865
4929.00,1.1865
4928.00,1.1864
4927.00,1.1864
4926.00,1.1864
4925.00,1.1864
4924.00,1.1864
4923.00,1.1864
4922.00,1.1863
4921.00,1.1863
4920.00,1.1862
4919.00,1.1861
4918.00,1.1861
4917.00,1.1860
4916.00,1.1860
4915.00,1.1859
4914.00,1.1859
4913.00,1.1859
4912.00,1.1858
4911.00,1.1858
4910.00,1.1857
4909.00,1.1857
4908.00,1.1856
4907.00,1.1857
4906.00,1.1857
4905.00,1.1857
4904.00,1.1857
4903.00,1.1856
4902.00,1.1856
4901.00,1.1855
4900.00,1.1854
4899.00,1.1853
4898.00,1.1853
4897.00,1.1852
4896.00,1.1851
4895.00,1.1851
4894.00,1.1851
4893.00,1.1850
4892.00,1.1850
4891.00,1.1850
4890.00,1.1850
4889.00,1.1850
4888.00,1.1849
4887.00,1.1849
4886.00,1.1848
4885.00,1.1848
4884.00,1.1848
4883.00,1.1847
4882.00,1.1847
4881.00,1.1846
4880.00,1.1846
4879.00,1.1846
4878.00,1.1845
4877.00,1.1845
4876.00,1.1845
4875.00,1.1845
4874.00,1.1845
4873.00,1.1845
4872.00,1.1845
4871.00,1.1844
4870.00,1.1844
4869.00,1.1843
4868.00,1.1842
4867.00,1.1842
4866.00,1.1842
4865.00,1.1842
4864.00,1.1842
4863.00,1.1841
4862.00,1.1841
4861.00,1.1840
4860.00,1.1840
4859.00,1.1840
4858.00,1.1840
4857.00,1.1840
4856.00,1.1839
4855.00,1.1839
4854.00,1.1838
4853.00,1.1837
4852.00,1.1836
4851.00,1.1836
4850.00,1.1836
4849.00,1.1836
4848.00,1.1836
4847.00,1.1836
4846.00,1.1836
4845.00,1.1836
4844.00,1.1835
4843.00,1.1834
4842.00,1.1833
4841.00,1.1832
4840.00,1.1832
4839.00,1.1831
4838.00,1.1831
4837.00,1.1831
4836.00,1.1830
4835.00,1.1830
4834.00,1.1830
4833.00,1.1829
4832.00,1.1829
4831.00,1.1829
4830.00,1.1828
4829.00,1.1827
4828.00,1.1827
4827.00,1.1827
4826.00,1.1826
4825.00,1.1826
4824.00,1.1826
4823.00,1.1826
4822.00,1.1825
4821.00,1.1824
4820.00,1.1823
4819.00,1.1823
4818.00,1.1822
4817.00,1.1822
4816.00,1.1822
4815.00,1.1822
4814.00,1.1822
4813.00,1.1821
4812.00,1.1820
4811.00,1.1819
4810.00,1.1818
4809.00,1.1817
4808.00,1.1816
4807.00,1.1815
4806.00,1.1815
4805.00,1.1814
4804.00,1.1814
4803.00,1.1814
4802.00,1.1814
4801.00,1.1813
4800.00,1.1813
4799.00,1.1813
4798.00,1.1813
4797.00,1.1812
4796.00,1.1812
4795.00,1.1812
4794.00,1.1811
4793.00,1.1811
4792.00,1.1810
4791.00,1.1810
4790.00,1.1809
4789.00,1.1808
4788.00,1.1808
4787.00,1.1807
4786.00,1.1807
4785.00,1.1806
4784.00,1.1806
4783.00,1.1806
4782.00,1.1806
4781.00,1.1806
4780.00,1.1805
4779.00,1.1805
4778.00,1.1804
4777.00,1.1803
4776.00,1.1803
4775.00,1.1803
4774.00,1.1802
4773.00,1.1802
4772.00,1.1802
4771.00,1.1802
4770.00,1.1801
4769.00,1.1801
4768.00,1.1801
4767.00,1.1800
4766.00,1.1800
4765.00,1.1799
4764.00,1.1798
4763.00,1.1797
4762.00,1.1796
4761.00,1.1796
4760.00,1.1795
4759.00,1.1794
4758.00,1.1794
4757.00,1.1792
4756.00,1.1791
4755.00,1.1790
4754.00,1.1789
4753.00,1.1789
4752.00,1.1788
4751.00,1.1787
4750.00,1.1786
4749.00,1.1785
4748.00,1.1784
4747.00,1.1784
4746.00,1.1783
4745.00,1.1783
4744.00,1.1782
4743.00,1.1781
4742.00,1.1781
4741.00,1.1780
4740.00,1.1779
4739.00,1.1779
4738.00,1.1778
4737.00,1.1777
4736.00,1.1776
4735.00,1.1775
4734.00,1.1774
4733.00,1.1773
4732.00,1.1772
4731.00,1.1772
4730.00,1.1771
4729.00,1.1770
4728.00,1.1770
4727.00,1.1769
4726.00,1.1769
4725.00,1.1769
4724.00,1.1769
4723.00,1.1768
4722.00,1.1768
4721.00,1.1767
4720.00,1.1766
4719.00,1.1766
4718.00,1.1766
4717.00,1.1766
4716.00,1.1766
4715.00,1.1766
4714.00,1.1766
4713.00,1.1765
4712.00,1.1764
4711.00,1.1764
4710.00,1.1764
4709.00,1.1764
4708.00,1.1764
4707.00,1.1764
4706.00,1.1764
4705.00,1.1764
4704.00,1.1764
4703.00,1.1764
4702.00,1.1764
4701.00,1.1764
4700.00,1.1765
4699.00,1.1765
4698.00,1.1764
4697.00,1.1764
4696.00,1.1763
4695.00,1.1762
4694.00,1.1761
4693.00,1.1760
4692.00,1.1759
4691.00,1.1759
4690.00,1.1758
4689.00,1.1757
4688.00,1.1756
4687.00,1.1755
4686.00,1.1755
4685.00,1.1755
4684.00,1.1754
4683.00,1.1754
4682.00,1.1753
4681.00,1.1753
4680.00,1.1752
4679.00,1.1751
4678.00,1.1751
4677.00,1.1751
4676.00,1.1751
4675.00,1.1752
4674.00,1.1752
4673.00,1.1751
4672.00,1.1751
4671.00,1.1750
4670.00,1.1750
4669.00,1.1750
4668.00,1.1750
4667.00,1.1750
4666.00,1.1750
4665.00,1.1749
4664.00,1.1749
4663.00,1.1749
4662.00,1.1748
4661.00,1.1748
4660.00,1.1748
4659.00,1.1748
4658.00,1.1748
4657.00,1.1748
4656.00,1.1747
4655.00,1.1747
4654.00,1.1746
4653.00,1.1746
4652.00,1.1746
4651.00,1.1746
4650.00,1.1746
4649.00,1.1746
4648.00,1.1746
4647.00,1.1746
4646.00,1.1746
4645.00,1.1745
4644.00,1.1745
4643.00,1.1745
4642.00,1.1744
4641.00,1.1744
4640.00,1.1744
4639.00,1.1744
4638.00,1.1744
4637.00,1.1744
4636.00,1.1744
4635.00,1.1745
4634.00,1.1744
4633.00,1.1744
4632.00,1.1743
4631.00,1.1743
4630.00,1.1743
4629.00,1.1742
4628.00,1.1742
4627.00,1.1741
4626.00,1.1741
4625.00,1.1740
4624.00,1.1740
4623.00,1.1740
4622.00,1.1740
4621.00,1.1741
4620.00,1.1741
4619.00,1.1741
4618.00,1.1741
