Created as New Dataset,Sample 032 By Administrator Date Monday, February 10 2020
cm-1,A
5361.00,1.1445
5360.00,1.1444
5359.00,1.1443
5358.00,1.1442
5357.00,1.1441
5356.00,1.1441
5355.00,1.1441
5354.00,1.1440
5353.00,1.1441
5352.00,1.1441
5351.00,1.1440
5350.00,1.1440
5349.00,1.1439
5348.00,1.1439
5347.00,1.1439
5346.00,1.1439
5345.00,1.1438
5344.00,1.1438
5343.00,1.1438
5342.00,1.1438
5341.00,1.1438
5340.00,1.1437
5339.00,1.1438
5338.00,1.1438
5337.00,1.1439
5336.00,1.1439
5335.00,1.1441
5334.00,1.1442
5333.00,1.1442
5332.00,1.1443
5331.00,1.1444
5330.00,1.1444
5329.00,1.1444
5328.00,1.1443
5327.00,1.1443
5326.00,1.1445
5325.00,1.1446
5324.00,1.1448
5323.00,1.1449
5322.00,1.1450
5321.00,1.1450
5320.00,1.1449
5319.00,1.1448
5318.00,1.1447
5317.00,1.1446
5316.00,1.1446
5315.00,1.1447
5314.00,1.1448
5313.00,1.1449
5312.00,1.1449
5311.00,1.1449
5310.00,1.1448
5309.00,1.1447
5308.00,1.1446
5307.00,1.1445
5306.00,1.1446
5305.00,1.1447
5304.00,1.1447
5303.00,1.1448
5302.00,1.1449
5301.00,1.1450
5300.00,1.1451
5299.00,1.1452
5298.00,1.1452
5297.00,1.1452
5296.00,1.1452
5295.00,1.1451
5294.00,1.1450
5293.00,1.1450
5292.00,1.1450
5291.00,1.1450
5290.00,1.1451
5289.00,1.1452
5288.00,1.1452
5287.00,1.1452
5286.00,1.1452
5285.00,1.1451
5284.00,1.1451
5283.00,1.1451
5282.00,1.1450
5281.00,1.1451
5280.00,1.1451
5279.00,1.1453
5278.00,1.1454
5277.00,1.1455
5276.00,1.1455
5275.00,1.1456
5274.00,1.1456
5273.00,1.1455
5272.00,1.1455
5271.00,1.1454
5270.00,1.1454
5269.00,1.1453
5268.00,1.1452
5267.00,1.1452
5266.00,1.1451
5265.00,1.1451
5264.00,1.1451
5263.00,1.1452
5262.00,1.1453
5261.00,1.1453
5260.00,1.1454
5259.00,1.1456
5258.00,1.1457
5257.00,1.1458
5256.00,1.1459
5255.00,1.1460
5254.00,1.1460
5253.00,1.1460
5252.00,1.1460
5251.00,1.1460
5250.00,1.1460
5249.00,1.1460
5248.00,1.1460
5247.00,1.1461
5246.00,1.1462
5245.00,1.1463
5244.00,1.1464
5243.00,1.1466
5242.00,1.1467
5241.00,1.1467
5240.00,1.1468
5239.00,1.1469
5238.00,1.1469
5237.00,1.1469
5236.00,1.1470
5235.00,1.1470
5234.00,1.1470
5233.00,1.1470
5232.00,1.1470
5231.00,1.1470
5230.00,1.1470
5229.00,1.1471
5228.00,1.1471
5227.00,1.1472
5226.00,1.1472
5225.00,1.1473
5224.00,1.1473
5223.00,1.1474
5222.00,1.1475
5221.00,1.1476
5220.00,1.1477
5219.00,1.1478
5218.00,1.1479
5217.00,1.1480
5216.00,1.1481
5215.00,1.1481
5214.00,1.1481
5213.00,1.1481
5212.00,1.1481
5211.00,1.1480
5210.00,1.1480
5209.00,1.1480
5208.00,1.1480
5207.00,1.1480
5206.00,1.1480
5205.00,1.1481
5204.00,1.1482
5203.00,1.1484
5202.00,1.1485
5201.00,1.1486
5200.00,1.1487
5199.00,1.1488
5198.00,1.1489
5197.00,1.1490
5196.00,1.1491
5195.00,1.1491
5194.00,1.1491
5193.00,1.1491
5192.00,1.1491
5191.00,1.1492
5190.00,1.1493
5189.00,1.1494
5188.00,1.1495
5187.00,1.1496
5186.00,1.1495
5185.00,1.1495
5184.00,1.1495
5183.00,1.1495
5182.00,1.1495
5181.00,1.1496
5180.00,1.1498
5179.00,1.1499
5178.00,1.1500
5177.00,1.1501
5176.00,1.1501
5175.00,1.1502
5174.00,1.1503
5173.00,1.1504
5172.00,1.1505
5171.00,1.1505
5170.00,1.1505
5169.00,1.1504
5168.00,1.1504
5167.00,1.1504
5166.00,1.1505
5165.00,1.1506
5164.00,1.1507
5163.00,1.1508
5162.00,1.1510
5161.00,1.1510
5160.00,1.1511
5159.00,1.1512
5158.00,1.1513
5157.00,1.1514
5156.00,1.1514
5155.00,1.1514
5154.00,1.1514
5153.00,1.1514
5152.00,1.1514
5151.00,1.1515
5150.00,1.1515
5149.00,1.1516
5148.00,1.1516
5147.00,1.1517
5146.00,1.1517
5145.00,1.1517
5144.00,1.1517
5143.00,1.1518
5142.00,1.1518
5141.00,1.1518
5140.00,1.1519
5139.00,1.1519
5138.00,1.1519
5137.00,1.1520
5136.00,1.1520
